Neighborhood Name,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Avenidas Novas,38.738889,-9.145833,Celeiro,38.74205447807004,-9.147144510878986,Health Food Store
Avenidas Novas,38.738889,-9.145833,Pastelaria Versailles,38.73544385341053,-9.145506620407104,Bakery
Avenidas Novas,38.738889,-9.145833,Holmes Place Defensores de Chaves,38.73690604385417,-9.143956245423022,Gym / Fitness Center
Avenidas Novas,38.738889,-9.145833,Espaço Nimas,38.7357063583276,-9.14741138965307,Indie Movie Theater
Avenidas Novas,38.738889,-9.145833,Paladar Zen,38.73992953507005,-9.149037476118016,Vegetarian / Vegan Restaurant
Avenidas Novas,38.738889,-9.145833,Rabo d'Pêxe,38.73542266737048,-9.146593482570001,Japanese Restaurant
Avenidas Novas,38.738889,-9.145833,Arigato Sushi Arena,38.742147,-9.145163,Sushi Restaurant
Avenidas Novas,38.738889,-9.145833,The Green Affair,38.735127,-9.144614,Vegetarian / Vegan Restaurant
Avenidas Novas,38.738889,-9.145833,Joker Lounge,38.737291,-9.149478,Bar
Avenidas Novas,38.738889,-9.145833,DOTE - Cervejaria Moderna - Campo Pequeno,38.738777860749494,-9.146148871087599,Portuguese Restaurant
Avenidas Novas,38.738889,-9.145833,Prazeres da Picanha,38.74053311641571,-9.14504645105637,Brazilian Restaurant
Avenidas Novas,38.738889,-9.145833,Italian Republic,38.735076,-9.146171,Italian Restaurant
Avenidas Novas,38.738889,-9.145833,La Fabrica,38.73689893415348,-9.141958863748771,Ice Cream Shop
Avenidas Novas,38.738889,-9.145833,People and Food,38.74252800015562,-9.144071270326092,Portuguese Restaurant
Avenidas Novas,38.738889,-9.145833,Casa Nepalesa,38.73851469472933,-9.151448908982816,Indian Restaurant
Avenidas Novas,38.738889,-9.145833,Campo Pequeno,38.74255292988757,-9.145281314849854,Plaza
Avenidas Novas,38.738889,-9.145833,La Finestra,38.73693222302314,-9.150353837666525,Pizza Place
